time,station_id,lng,lat,returned,current_capacity,total_capacity
2023-07-20 00:29:30,M32041,-71.101295,42.359573,1,20,19
2023-07-20 00:30:58,M32070,-71.086698,42.360542,1,28,27
2023-07-20 00:31:05,M32055,-71.095222,42.365994,1,20,19
2023-07-20 00:34:13,M32041,-71.101295,42.359573,1,21,19
2023-07-20 00:34:33,M32011,-71.1031,42.36507,1,19,19
2023-07-20 00:41:49,M32006,-71.093198,42.3581,0,26,27
2023-07-20 00:51:27,M32050,-71.113054,42.372509,0,18,19
2023-07-20 00:51:43,M32041,-71.101295,42.359573,0,20,19
2023-07-20 00:52:11,M32085,-71.100442,42.363565,0,14,15
2023-07-20 00:59:10,M32085,-71.100442,42.363565,1,15,15
2023-07-20 01:00:07,M32048,-71.082771,42.365445,1,16,15
2023-07-20 01:00:57,M32062,-71.100265,42.374267,1,25,25
2023-07-20 01:06:40,M32040,-71.100061,42.362648,0,18,19
2023-07-20 01:07:28,M32037,-71.08822,42.3625,0,16,19
2023-07-20 01:09:52,M32012,-71.105495,42.366426,0,16,17
2023-07-20 01:12:34,M32058,-71.143941,42.3936,1,17,16
2023-07-20 01:13:03,M32032,-71.082168,42.36356,1,18,17
2023-07-20 01:13:36,M32002,-71.09169,42.366277,0,18,19
2023-07-20 01:14:09,M32012,-71.105495,42.366426,0,15,17
2023-07-20 01:14:14,M32073,-71.109988,42.368952,0,18,19
2023-07-20 01:17:10,M32062,-71.100265,42.374267,1,26,25
2023-07-20 01:17:58,M32017,-71.120986,42.373329,0,14,15
2023-07-20 01:18:54,M32017,-71.120986,42.373329,1,15,15
2023-07-20 01:20:43,M32012,-71.105495,42.366426,0,14,17
2023-07-20 01:22:17,M32019,-71.076793,42.367074,1,16,15
2023-07-20 01:26:33,M32009,-71.100573,42.363465,1,16,15
2023-07-20 01:26:55,M32038,-71.11687,42.369239,1,23,21
2023-07-20 01:27:15,M32017,-71.120986,42.373329,0,14,15
2023-07-20 01:29:15,M32030,-71.1081,42.36178,0,18,19
2023-07-20 01:35:37,M32006,-71.093198,42.3581,1,27,27
2023-07-20 01:35:49,M32065,-71.08579,42.369553,1,20,19
2023-07-20 01:35:50,M32065,-71.08579,42.369553,1,21,19
2023-07-20 01:36:57,M32011,-71.1031,42.36507,1,20,19
2023-07-20 02:17:38,M32009,-71.100573,42.363465,0,15,15
2023-07-20 02:22:41,M32073,-71.109988,42.368952,1,19,19
2023-07-20 02:25:18,M32052,-71.097599,42.371197,0,18,19
2023-07-20 02:30:39,M32011,-71.1031,42.36507,1,21,19
2023-07-20 02:32:51,M32062,-71.100265,42.374267,0,25,25
2023-07-20 02:39:54,M32020,-71.119945,42.379011,1,20,19
2023-07-20 05:11:10,M32063,-71.099302,42.368605,0,19,19
2023-07-20 05:12:20,M32004,-71.084955,42.362428,0,18,23
2023-07-20 05:16:47,M32078,-71.088542,42.36642,1,20,19
2023-07-20 05:18:22,M32006,-71.093198,42.3581,1,28,27
2023-07-20 05:38:21,M32081,-71.086342,42.37308,0,18,19
2023-07-20 05:43:52,M32081,-71.086342,42.37308,0,17,19
2023-07-20 05:46:19,M32083,-71.08631,42.369036,0,18,19
2023-07-20 05:46:29,M32081,-71.086342,42.37308,0,16,19
2023-07-20 05:46:48,M32061,-71.096703,42.361358,1,18,16
2023-07-20 05:47:08,M32029,-71.119084,42.387995,0,18,19
2023-07-20 05:47:50,M32027,-71.086336,42.366088,1,20,19
2023-07-20 05:48:17,M32078,-71.088542,42.36642,1,21,19
2023-07-20 05:48:22,M32029,-71.119084,42.387995,0,17,19
2023-07-20 05:49:33,M32035,-71.076546,42.366447,0,18,19
2023-07-20 05:51:15,M32029,-71.119084,42.387995,0,16,19
2023-07-20 05:54:53,M32038,-71.11687,42.369239,0,22,21
2023-07-20 05:55:27,M32013,-71.111075,42.373379,0,18,19
2023-07-20 05:56:18,M32083,-71.08631,42.369036,0,17,19
2023-07-20 05:57:16,M32076,-71.108413,42.357662,0,14,15
2023-07-20 05:57:51,M32050,-71.113054,42.372509,0,17,19
2023-07-20 05:59:06,M32002,-71.09169,42.366277,1,19,19
2023-07-20 05:59:34,M32020,-71.119945,42.379011,1,21,19
2023-07-20 05:59:38,M32078,-71.088542,42.36642,1,22,19
2023-07-20 06:00:04,M32080,-71.091567,42.362902,1,24,23
2023-07-20 06:02:08,M32006,-71.093198,42.3581,0,27,27
2023-07-20 06:02:31,M32012,-71.105495,42.366426,0,13,17
2023-07-20 06:03:38,M32011,-71.1031,42.36507,1,22,19
2023-07-20 06:03:50,M32065,-71.08579,42.369553,0,20,19
2023-07-20 06:04:09,M32002,-71.09169,42.366277,1,20,19
2023-07-20 06:04:32,M32083,-71.08631,42.369036,0,16,19
2023-07-20 06:06:22,M32029,-71.119084,42.387995,1,17,19
2023-07-20 06:06:54,M32081,-71.086342,42.37308,1,17,19
2023-07-20 06:07:36,M32011,-71.1031,42.36507,1,23,19
2023-07-20 06:08:34,M32004,-71.084955,42.362428,1,19,23
2023-07-20 06:08:39,M32005,-71.091156,42.362131,1,36,35
2023-07-20 06:10:25,M32005,-71.091156,42.362131,1,37,35
2023-07-20 06:11:22,M32011,-71.1031,42.36507,0,22,19
2023-07-20 06:12:20,M32018,-71.118579,42.373268,1,20,19
2023-07-20 06:14:17,M32043,-71.133202,42.374786,1,20,19
2023-07-20 06:16:24,M32006,-71.093198,42.3581,1,28,27
2023-07-20 06:25:04,M32054,-71.148716,42.375002,0,18,19
2023-07-20 06:25:39,M32030,-71.1081,42.36178,0,17,19
2023-07-20 06:27:12,M32006,-71.093198,42.3581,0,27,27
2023-07-20 06:29:53,M32020,-71.119945,42.379011,0,20,19
2023-07-20 06:31:22,M32080,-71.091567,42.362902,1,25,23
2023-07-20 06:32:10,M32044,-71.13427,42.381651,0,18,19
2023-07-20 06:32:24,M32062,-71.100265,42.374267,0,24,25
2023-07-20 06:33:37,M32017,-71.120986,42.373329,1,15,15
2023-07-20 06:34:01,M32041,-71.101295,42.359573,0,19,19
2023-07-20 06:34:14,M32041,-71.101295,42.359573,0,18,19
2023-07-20 06:34:24,M32041,-71.101295,42.359573,0,17,19
2023-07-20 06:35:13,M32052,-71.097599,42.371197,1,19,19
2023-07-20 06:35:15,M32041,-71.101295,42.359573,0,16,19
2023-07-20 06:37:14,M32011,-71.1031,42.36507,1,23,19
2023-07-20 06:37:16,M32036,-71.129042,42.392766,0,18,19
2023-07-20 06:37:18,M32073,-71.109988,42.368952,0,18,19
2023-07-20 06:37:38,M32011,-71.1031,42.36507,1,24,19
2023-07-20 06:37:41,M32011,-71.1031,42.36507,1,25,19
2023-07-20 06:38:03,M32033,-71.139459,42.396105,0,22,23
