station_id,is_installed,is_returning,eightd_has_available_keys,legacy_id,is_renting,num_bikes_disabled,num_bikes_available,num_ebikes_available,last_reported,num_docks_available,num_docks_disabled
f83464e4-0de8-11e7-991c-3863bb43a7d0,1,1,False,3,1,0,11,0,1695221003,1,2
f834658f-0de8-11e7-991c-3863bb43a7d0,1,1,False,4,1,0,0,0,1695219860,19,0
f834662c-0de8-11e7-991c-3863bb43a7d0,1,1,False,5,1,0,15,0,1695217801,0,0
f83466c6-0de8-11e7-991c-3863bb43a7d0,1,1,False,6,1,1,2,0,1695221475,12,0
f8346768-0de8-11e7-991c-3863bb43a7d0,1,1,False,7,1,0,15,0,1695216536,0,0
f8346803-0de8-11e7-991c-3863bb43a7d0,1,1,False,8,1,1,1,0,1695221486,17,0
f8346894-0de8-11e7-991c-3863bb43a7d0,1,1,False,9,1,0,2,0,1695221082,13,0
f8346a3c-0de8-11e7-991c-3863bb43a7d0,1,1,False,10,1,2,9,0,1695219700,0,0
f8346ad7-0de8-11e7-991c-3863bb43a7d0,1,1,False,11,1,0,6,0,1695221444,9,0
f8346b6f-0de8-11e7-991c-3863bb43a7d0,1,1,False,12,1,2,22,0,1695220094,0,0
f8346c01-0de8-11e7-991c-3863bb43a7d0,1,1,False,13,1,0,18,0,1695220345,1,0
f8346c96-0de8-11e7-991c-3863bb43a7d0,1,1,False,14,1,0,25,0,1695220184,0,0
f8346d23-0de8-11e7-991c-3863bb43a7d0,1,1,False,15,1,1,1,0,1695220834,13,0
f8346dbd-0de8-11e7-991c-3863bb43a7d0,1,1,True,16,1,0,13,0,1695221535,3,1
f8346e51-0de8-11e7-991c-3863bb43a7d0,1,1,False,17,1,1,1,0,1695221332,13,0
f8346f6f-0de8-11e7-991c-3863bb43a7d0,1,1,False,19,1,1,0,0,1695221229,14,0
f8347002-0de8-11e7-991c-3863bb43a7d0,1,1,False,20,1,2,11,0,1695221434,10,0
f834708e-0de8-11e7-991c-3863bb43a7d0,1,1,False,21,1,1,14,0,1695221382,3,0
f8347118-0de8-11e7-991c-3863bb43a7d0,1,1,False,22,1,4,22,0,1695221211,11,0
f83471a1-0de8-11e7-991c-3863bb43a7d0,1,1,False,23,1,2,21,0,1695221286,2,0
f834723b-0de8-11e7-991c-3863bb43a7d0,1,1,False,24,1,2,21,0,1695218032,0,0
f83472d3-0de8-11e7-991c-3863bb43a7d0,1,1,False,25,1,0,1,0,1695221274,13,1
f8347361-0de8-11e7-991c-3863bb43a7d0,1,1,False,26,1,1,2,0,1695217538,12,0
f83473ea-0de8-11e7-991c-3863bb43a7d0,1,1,False,27,1,1,0,0,1695220147,22,0
f8347a8b-0de8-11e7-991c-3863bb43a7d0,1,1,False,29,1,0,19,0,1695220866,0,0
